"ISO3","Latitude","Longitude"
"IND",28.6166666666667,77.2166666666667
"FRA",48.8333333333333,2.33333333333333
"BRA",-15.7833333333333,-47.9166666666667
"DEU",52.5,13.4166666666667
"GBR",51.6,-0.0833333333333333
"ITA",41.9,12.4833333333333
"JPN",36.2,138.25
"RUS",55.75,37.5833333333333
"TUR",39.95,32.9
"ESP",40.4166666666667,-3.75
"VNM",21.0833333333333,105.916666666667
"AUS",-35.25,149.133333333333
"ARG",-36.5,-60
"MEX",19.3333333333333,-99.1666666666667
"IDN",-6.15,106.816666666667
"POL",52.2166666666667,21
"COL",4.56666666666667,-74
"PRT",38.7,-9.16666666666667
"UKR",50.5,30.4666666666667
"AUT",48.2,16.3666666666667
"GRC",37.9666666666667,23.7666666666667
"MYS",3.15,101.683333333333
"THA",13.75,100.583333333333
"ISR",31.7833333333333,35.2
"CHL",-33.4,-70.6666666666667
"BEL",50.85,4.35
"CAN",45.45,-75.7
"PER",-12,-77
"CHE",46.95,7.46666666666667
"CZE",50.0833333333333,14.3666666666667
"ZAF",-25.7333333333333,28.2
"PHL",14.6666666666667,121.05
"DNK",55.6833333333333,12.5666666666667
"ROU",44.45,26.1666666666667
"SVK",48.1666666666667,17.1166666666667
"SWE",59.3333333333333,18.05
"IRQ",33.3333333333333,44.5
"HUN",47.4833333333333,19.0833333333333
"BGD",23.7166666666667,90.4333333333333
"SGP",1.28333333333333,103.85
"NZL",-41.3166666666667,174.766666666667
"JOR",31.95,35.8666666666667
"IRL",53.35,-6.25
"PAK",33.6666666666667,73.1666666666667
"KAZ",51.1666666666667,71.5
"NOR",59.9166666666667,10.75
"FIN",60.25,25.05
"MAR",31.7917,-7.0926
"BGR",42.75,23.3333333333333
"LTU",54.6333333333333,25.3166666666667
"HRV",45.8333333333333,15.9666666666667
"LBN",33.8833333333333,35.5166666666667
"SVN",46.0666666666667,14.55
"GTM",14.6666666666667,-90.3666666666667
"CRI",9.91666666666667,-84.0333333333333
"BOL",-16.3333333333333,-68.1666666666667
"ARE",24.4666666666667,54.3666666666667
"ECU",-0.25,-78.5833333333333
"NPL",27.75,85.3333333333333
"BLR",53.8666666666667,27.5
"PAN",9,-79.4166666666667
"URY",-34.8333333333333,-56.1833333333333
"MNG",46.8625,103.8467
"LVA",56.8833333333333,24.1333333333333
"SAU",24.6833333333333,46.7
"PRY",-25.1666666666667,-57.5
"BHR",26.1666666666667,50.5
"LKA",7.8731,80.7718
"KWT",29.5,48
"DOM",18.5,-69.9833333333333
"EST",59.3666666666667,24.8
"MDA",47.0333333333333,28.8333333333333
"VEN",10.5,-66.9166666666667
"EGY",30.0166666666667,31.2333333333333
"LBY",32.8166666666667,13.1166666666667
"HND",14.0833333333333,-87.2333333333333
"QAT",25.25,51.5833333333333
"BIH",43.8666666666667,18.4333333333333
"OMN",23.6166666666667,58.6
"KEN",-1.28333333333333,36.8
"ZMB",-15.4666666666667,28.2666666666667
"BWA",-24.75,25.95
"LUX",49.6166666666667,6.15
"NGA",9.08333333333333,7.53333333333333
"MUS",-20.3484,57.5522
"ZWE",-17.7166666666667,31.0333333333333
"MOZ",-25.9666666666667,32.5333333333333
"LAO",17.9666666666667,102.6
"KGZ",42.9,74.7666666666667
"SLV",13.6666666666667,-89.1666666666667
"TTO",10.6918,61.2225
"GHA",5.58333333333333,-0.1
"UGA",0.333333333333333,32.5
"NAM",-22.5833333333333,17.0666666666667
"JAM",18,-76.8333333333333
"KHM",11.55,104.916666666667
"RWA",-1.98333333333333,30.0666666666667
"CMR",3.83333333333333,11.5833333333333
"MLT",35.9,14.5166666666667
"AGO",-8.83333333333333,13.25
"BRB",13.0833333333333,-59.5
"SEN",14.5666666666667,-17.4833333333333
"BLZ",17.3,-88.5
"FJI",-18.1,178.5
"GAB",0.416666666666667,9.43333333333333
"PNG",-9.4,147.133333333333
"TZA",-6.369,34.8888
"TGO",6.15,1.33333333333333
"HTI",18.6666666666667,-72.3333333333333
"MLI",12.5666666666667,-7.91666666666667
"BEN",6.38333333333333,2.7
"BFA",12.25,-1.5
"LIE",47.1333333333333,9.51666666666667
"TJK",38.55,68.8
"NIC",12.1,-86.3333333333333
"YEM",15.5527,48.5164
"NER",13.45,2.1
"USA_AK",63.588753,-154.493062
"USA_AL",32.318231,-86.902298
"USA_AR",35.20105,-91.831833
"USA_AZ",34.048928,-111.093731
"USA_CA",36.778261,-119.417932
"USA_CO",39.550051,-105.782067
"USA_CT",41.603221,-73.087749
"USA_DC",38.905985,-77.033418
"USA_DE",38.910832,-75.52767
"USA_FL",27.664827,-81.515754
"USA_GA",32.157435,-82.907123
"USA_HI",19.898682,-155.665857
"USA_IA",41.878003,-93.097702
"USA_ID",44.068202,-114.742041
"USA_IL",40.633125,-89.398528
"USA_IN",40.551217,-85.602364
"USA_KS",39.011902,-98.484246
"USA_KY",37.839333,-84.270018
"USA_LA",31.244823,-92.145024
"USA_MA",42.407211,-71.382437
"USA_MD",39.045755,-76.641271
"USA_ME",45.253783,-69.445469
"USA_MI",44.314844,-85.602364
"USA_MN",46.729553,-94.6859
"USA_MO",37.964253,-91.831833
"USA_MS",32.354668,-89.398528
"USA_MT",46.879682,-110.362566
"USA_NC",35.759573,-79.0193
"USA_ND",47.551493,-101.002012
"USA_NE",41.492537,-99.901813
"USA_NH",43.193852,-71.572395
"USA_NJ",40.058324,-74.405661
"USA_NM",34.97273,-105.032363
"USA_NV",38.80261,-116.419389
"USA_NY",43.299428,-74.217933
"USA_OH",40.417287,-82.907123
"USA_OK",35.007752,-97.092877
"USA_OR",43.804133,-120.554201
"USA_PA",41.203322,-77.194525
"USA_RI",41.580095,-71.477429
"USA_SC",33.836081,-81.163725
"USA_SD",43.969515,-99.901813
"USA_TN",35.517491,-86.580447
"USA_TX",31.968599,-99.901813
"USA_UT",39.32098,-111.093731
"USA_VA",37.431573,-78.656894
"USA_VT",44.558803,-72.577841
"USA_WA",47.751074,-120.740139
"USA_WI",43.78444,-88.787868
"USA_WV",38.597626,-80.454903
"USA_WY",43.075968,-107.290284
