index,iso,Cname
1,AFG,Afghanistan
2,ARG,Argentina
3,AUS,Australia
4,AUT,Austria
5,BGD,Bangladesh
6,BLR,Belarus
7,BEL,Belgium
8,BOL,Bolivia
9,BIH,Bosnia and Herzegovina
10,BRA,Brazil
11,BGR,Bulgaria
12,CMR,Cameroon
13,CAN,Canada
14,CHL,Chile
15,COL,Colombia
16,CRI,Costa Rica
17,CIV,Cote d'Ivoire
18,HRV,Croatia
19,CZE,Czechia
20,DNK,Denmark
21,DOM,Dominican Republic
22,ECU,Ecuador
23,EGY,Egypt
24,SLV,El Salvador
25,EST,Estonia
26,FIN,Finland
27,FRA,France
28,GAB,Gabon
29,DEU,Germany
30,GHA,Ghana
31,GRC,Greece
32,GTM,Guatemala
33,HTI,Haiti
34,HND,Honduras
35,HUN,Hungary
36,IND,India
37,IDN,Indonesia
38,IRQ,Iraq
39,IRL,Ireland
40,ISR,Israel
41,ITA,Italy
42,JPN,Japan
43,JOR,Jordan
44,KAZ,Kazakhstan
45,KEN,Kenya
46,KOR,Korea
47,KGZ,Kyrgyzstan
48,LVA,Latvia
49,LBN,Lebanon
50,LTU,Lithuania
51,LUX,Luxembourg
52,MYS,Malaysia
53,MLI,Mali
54,MEX,Mexico
55,MDA,Moldova
56,MAR,Morocco
57,NPL,Nepal
58,ANT,Netherlands
59,NZL,New Zealand
60,NIC,Nicaragua
61,NER,Niger
62,NGA,Nigeria
63,NOR,Norway
64,PAK,Pakistan
65,PAN,Panama
66,PRY,Paraguay
67,PER,Peru
68,PHL,Philippines
69,POL,Poland
70,PRT,Portugal
71,QAT,Qatar
72,ROU,Romania
73,RUS,Russia
74,SAU,Saudi Arabia
75,SEN,Senegal
76,SRB,Serbia
77,SGP,Singapore
78,SVK,Slovakia
79,SVN,Slovenia
80,ZAF,South Africa
81,ESP,Spain
82,LKA,Sri Lanka
83,SWE,Sweden
84,CHE,Switzerland
85,TJK,Tajikistan
86,THA,Thailand
87,TUR,Turkey
88,UKR,Ukraine
89,ARE,United Arab Emirates
90,GBR,United Kingdom
91,USA,United States
92,VEN,Venezuela
93,ZMB,Zambia
